BLU,GRE,RED,REDEDGE,NearIR,NDVI,NDRE,SR,GLI,RGI,ExG,meanRGB,RBI,class
0.0086,0.0225,0.0121,0.0571,0.1359,0.836486486,0.408290155,11.23140496,0.369863014,0.537777778,0.0243,0.0144,1.406976744,4
0.0099,0.0201,0.0165,0.0512,0.1227,0.762931034,0.411155837,7.436363636,0.207207207,0.820895522,0.0138,0.0155,1.666666667,4
0.0446,0.1636,0.0541,0.4228,0.688,0.854197548,0.238746849,12.71719039,0.536510918,0.330684597,0.2285,0.087433333,1.213004484,4
0.0087,0.0192,0.0106,0.0563,0.1279,0.846931408,0.388707926,12.06603774,0.33102253,0.552083333,0.0191,0.012833333,1.218390805,4
0.0125,0.0264,0.0139,0.0672,0.1711,0.84972973,0.436005036,12.30935252,0.333333333,0.526515152,0.0264,0.0176,1.112,4
0.012,0.0229,0.0137,0.0595,0.1412,0.823111685,0.407075237,10.30656934,0.281118881,0.598253275,0.0201,0.0162,1.141666667,4
0.0105,0.0207,0.0143,0.0701,0.1463,0.821917808,0.352125693,10.23076923,0.250755287,0.690821256,0.0166,0.015166667,1.361904762,4
0.012,0.0275,0.0155,0.0751,0.1967,0.853911404,0.447387785,12.69032258,0.333333333,0.563636364,0.0275,0.018333333,1.291666667,4
0.0131,0.0292,0.014,0.0778,0.2063,0.87290059,0.452305526,14.73571429,0.366081871,0.479452055,0.0313,0.018766667,1.06870229,4
0.0125,0.0287,0.0168,0.072,0.1697,0.819839142,0.404220108,10.10119048,0.324106113,0.585365854,0.0281,0.019333333,1.344,4
0.0102,0.0219,0.0103,0.0517,0.1364,0.859577369,0.450292398,13.24271845,0.362363919,0.470319635,0.0233,0.014133333,1.009803922,4
0.0098,0.0219,0.0157,0.0643,0.1467,0.806650246,0.390521327,9.343949045,0.264069264,0.716894977,0.0183,0.0158,1.602040816,4
0.0115,0.0204,0.0121,0.0532,0.1461,0.847029077,0.46613146,12.07438017,0.267080745,0.593137255,0.0172,0.014666667,1.052173913,4
0.0134,0.0306,0.0138,0.0721,0.1886,0.863636364,0.446873801,13.66666667,0.384615385,0.450980392,0.034,0.019266667,1.029850746,4
