"BLU","GRE","RED","REDEDGE","NearIR","NDVI","NDRE","SR","GLI","RGI","ExG","meanRGB","RBI","ID_point","class"
0.0086,0.0225,0.0121,0.0571,0.1359,0.836486486486486,0.408290155440414,11.2314049586777,0.36986301369863,0.537777777777778,0.0243,0.0144,1.40697674418605,13970,4
0.0099,0.0201,0.0165,0.0512,0.1227,0.762931034482759,0.411155836687752,7.43636363636364,0.207207207207207,0.82089552238806,0.0138,0.0155,1.66666666666667,14222,4
0.0446,0.1636,0.0541,0.4228,0.688,0.854197547500337,0.238746849117753,12.7171903881701,0.536510918055882,0.330684596577017,0.2285,0.0874333333333333,1.21300448430493,15581,4
0.0087,0.0192,0.0106,0.0563,0.1279,0.846931407942238,0.38870792616721,12.0660377358491,0.331022530329289,0.552083333333333,0.0191,0.0128333333333333,1.2183908045977,15861,4
0.0125,0.0264,0.0139,0.0672,0.1711,0.84972972972973,0.436005035669324,12.3093525179856,0.333333333333333,0.526515151515151,0.0264,0.0176,1.112,16595,4
0.012,0.0229,0.0137,0.0595,0.1412,0.823111684958038,0.407075236671649,10.3065693430657,0.281118881118881,0.59825327510917,0.0201,0.0162,1.14166666666667,16628,4
0.0105,0.0207,0.0143,0.0701,0.1463,0.821917808219178,0.352125693160813,10.2307692307692,0.250755287009063,0.690821256038647,0.0166,0.0151666666666667,1.36190476190476,16877,4
0.012,0.0275,0.0155,0.0751,0.1967,0.853911404335533,0.447387785136129,12.6903225806452,0.333333333333333,0.563636363636364,0.0275,0.0183333333333333,1.29166666666667,16994,4
0.0131,0.0292,0.014,0.0778,0.2063,0.872900590104403,0.452305526223161,14.7357142857143,0.366081871345029,0.479452054794521,0.0313,0.0187666666666667,1.06870229007634,17439,4
0.0125,0.0287,0.0168,0.072,0.1697,0.819839142091153,0.40422010757137,10.1011904761905,0.324106113033449,0.585365853658537,0.0281,0.0193333333333333,1.344,19068,4
0.0102,0.0219,0.0103,0.0517,0.1364,0.859577368779823,0.450292397660819,13.2427184466019,0.362363919129082,0.470319634703196,0.0233,0.0141333333333333,1.00980392156863,19112,4
0.0098,0.0219,0.0157,0.0643,0.1467,0.806650246305419,0.390521327014218,9.34394904458599,0.264069264069264,0.71689497716895,0.0183,0.0158,1.60204081632653,19140,4
0.0115,0.0204,0.0121,0.0532,0.1461,0.847029077117573,0.466131460110386,12.0743801652893,0.267080745341615,0.593137254901961,0.0172,0.0146666666666667,1.05217391304348,19760,4
0.0134,0.0306,0.0138,0.0721,0.1886,0.863636363636364,0.446873801304181,13.6666666666667,0.384615384615385,0.450980392156863,0.034,0.0192666666666667,1.02985074626866,19828,4
0.0102,0.0194,0.0122,0.0451,0.1313,0.829965156794425,0.488662131519274,10.7622950819672,0.26797385620915,0.628865979381443,0.0164,0.0139333333333333,1.19607843137255,19876,4
0.0114,0.0263,0.0104,0.0559,0.1581,0.876557863501484,0.477570093457944,15.2019230769231,0.413978494623656,0.395437262357414,0.0308,0.0160333333333333,0.912280701754386,20022,4
0.0131,0.022,0.0117,0.0509,0.1333,0.838620689655172,0.447339847991314,11.3931623931624,0.27906976744186,0.531818181818182,0.0192,0.0156,0.893129770992366,20306,4
0.0102,0.0272,0.0118,0.0646,0.1672,0.868156424581006,0.442622950819672,14.1694915254237,0.424083769633508,0.433823529411765,0.0324,0.0164,1.15686274509804,20480,4
0.0109,0.0219,0.0126,0.0543,0.1428,0.837837837837838,0.449010654490107,11.3333333333333,0.301634472511144,0.575342465753425,0.0203,0.0151333333333333,1.15596330275229,20565,4
0.0106,0.0199,0.0103,0.0561,0.1277,0.850724637681159,0.38955386289445,12.3980582524272,0.311367380560132,0.517587939698492,0.0189,0.0136,0.971698113207547,20674,4
0.0116,0.0266,0.0118,0.0611,0.1601,0.862710878417685,0.44755877034358,13.5677966101695,0.389033942558747,0.443609022556391,0.0298,0.0166666666666667,1.01724137931034,20886,4
0.0108,0.0204,0.0109,0.0495,0.1499,0.864427860696517,0.503510531594784,13.7522935779817,0.3056,0.534313725490196,0.0191,0.0140333333333333,1.00925925925926,20962,4
0.0094,0.0189,0.0108,0.0639,0.1475,0.863550221099179,0.395458845789972,13.6574074074074,0.303448275862069,0.571428571428572,0.0176,0.0130333333333333,1.14893617021277,21090,4
0.0117,0.0219,0.0133,0.0579,0.155,0.84194890077243,0.456082667919211,11.6541353383459,0.273255813953488,0.607305936073059,0.0188,0.0156333333333333,1.13675213675214,21955,4
0.0103,0.0233,0.0126,0.0584,0.1544,0.849101796407186,0.451127819548872,12.2539682539683,0.341007194244604,0.540772532188841,0.0237,0.0154,1.22330097087379,22861,4
0.0116,0.0241,0.0148,0.0602,0.1512,0.821686746987952,0.43046357615894,10.2162162162162,0.292225201072386,0.614107883817427,0.0218,0.0168333333333333,1.27586206896552,23041,4
0.0071,0.0177,0.0118,0.0506,0.1226,0.824404761904762,0.415704387990762,10.3898305084746,0.303867403314917,0.666666666666667,0.0165,0.0122,1.66197183098592,23657,4
0.0104,0.0191,0.0131,0.0563,0.1464,0.835736677115987,0.444499259990133,11.175572519084,0.238249594813614,0.68586387434555,0.0147,0.0142,1.25961538461538,24947,4
0.0131,0.0179,0.0124,0.0486,0.1159,0.806703039750585,0.409118541033435,9.34677419354839,0.168026101141925,0.692737430167598,0.0103,0.0144666666666667,0.946564885496183,25861,4
0.0071,0.0165,0.0088,0.0483,0.143,0.884057971014493,0.495033978044955,16.25,0.349693251533742,0.533333333333333,0.0171,0.0108,1.23943661971831,33689,4
0.0108,0.0252,0.0152,0.0645,0.1711,0.836822329575953,0.452461799660441,11.2565789473684,0.319371727748691,0.603174603174603,0.0244,0.0170666666666667,1.40740740740741,42646,4
0.0137,0.0337,0.0185,0.089,0.2054,0.834747655203216,0.395380434782609,11.1027027027027,0.353413654618474,0.548961424332344,0.0352,0.0219666666666667,1.35036496350365,43464,4
0.011,0.0239,0.0161,0.0587,0.148,0.803778184034125,0.432027092404451,9.19254658385093,0.276368491321762,0.673640167364017,0.0207,0.017,1.46363636363636,45156,4
0.129,0.1833,0.1987,0.3306,0.4446,0.382247784859319,0.147058823529412,2.23754403623553,0.0560276537519804,1.08401527550464,0.0389,0.170333333333333,1.54031007751938,81674,1
0.0516,0.1237,0.0631,0.2737,0.4875,0.770795495822739,0.280872306883868,7.72583201267829,0.366473349903342,0.510105092966855,0.1327,0.0794666666666667,1.22286821705426,178452,1
0.0773,0.1623,0.0934,0.3523,0.5758,0.72086072922893,0.240814567395755,6.16488222698073,0.310720775287704,0.575477510782502,0.1539,0.111,1.20827943078913,179474,1
0.0671,0.1469,0.0931,0.3119,0.499,0.685526093565276,0.230731286225182,5.35982814178303,0.294273127753304,0.633764465622873,0.1336,0.102366666666667,1.38748137108793,180015,1
0.0754,0.1684,0.0947,0.3341,0.534,0.698743438842055,0.230273010021887,5.63885955649419,0.328861708423752,0.562351543942993,0.1667,0.112833333333333,1.25596816976127,181295,1
0.0821,0.1784,0.1062,0.3679,0.5419,0.672272797407807,0.191250824357002,5.10263653483992,0.309117593102183,0.595291479820628,0.1685,0.122233333333333,1.29354445797808,181887,1
0.0745,0.1422,0.0938,0.2879,0.4268,0.639646561659624,0.194347278578425,4.5501066098081,0.256461232604374,0.659634317862166,0.1161,0.1035,1.25906040268456,187845,1
0.0479,0.1084,0.057,0.2386,0.4318,0.766775777414075,0.2881861575179,7.57543859649123,0.347839602113771,0.525830258302583,0.1119,0.0711,1.18997912317328,187965,1
0.081,0.1565,0.1031,0.315,0.4725,0.64176511466296,0.2,4.58292919495635,0.259303962985315,0.658785942492013,0.1289,0.113533333333333,1.27283950617284,190412,1
0.0902,0.1928,0.1069,0.4031,0.6727,0.725756798358132,0.250604201524447,6.29279700654818,0.323494079286082,0.554460580912863,0.1885,0.129966666666667,1.18514412416851,199917,1
0.0794,0.1822,0.0933,0.3817,0.5839,0.724453632604843,0.20940347970174,6.2583065380493,0.356916775274623,0.512074643249177,0.1917,0.1183,1.17506297229219,201061,1
0.0563,0.1298,0.0661,0.2937,0.5105,0.770724939299341,0.269584680427754,7.72314674735249,0.359162303664921,0.50924499229584,0.1372,0.0840666666666667,1.1740674955595,201497,1
0.0707,0.1905,0.0855,0.4128,0.6955,0.781049935979513,0.255075340611748,8.13450292397661,0.418466120625465,0.448818897637795,0.2248,0.115566666666667,1.20933521923621,201871,1
0.0888,0.2149,0.0988,0.4552,0.7547,0.768482718219098,0.247541119100752,7.63866396761134,0.392290249433107,0.45974872033504,0.2422,0.134166666666667,1.11261261261261,206179,1
0.0892,0.2235,0.0987,0.4897,0.7852,0.776671569182034,0.231782884932151,7.95542046605876,0.408095763112301,0.441610738255034,0.2591,0.137133333333333,1.10650224215247,206943,1
0.1075,0.2017,0.1402,0.4204,0.6317,0.636740510428812,0.200836422393309,4.50570613409415,0.239133773613884,0.695091720376797,0.1557,0.1498,1.30418604651163,209468,1
0.0777,0.1684,0.0951,0.3416,0.5154,0.688452088452088,0.202800466744457,5.41955835962145,0.32182103610675,0.564726840855107,0.164,0.113733333333333,1.22393822393822,210254,1
0.0796,0.2006,0.0855,0.4569,0.7639,0.798681422180363,0.251474442988204,8.93450292397661,0.416916828536112,0.426221335992024,0.2361,0.1219,1.07412060301508,216233,1
0.0712,0.1291,0.078,0.2699,0.4655,0.712971481140754,0.265977699211314,5.96794871794872,0.267550319096711,0.604182804027885,0.109,0.0927666666666667,1.09550561797753,216658,1
0.0686,0.1441,0.081,0.3107,0.5222,0.731432360742706,0.253932044663225,6.44691358024691,0.316582914572864,0.562109646079112,0.1386,0.0979,1.18075801749271,216664,1
0.0699,0.1517,0.0797,0.322,0.5798,0.758301743745262,0.285872699046352,7.27478042659975,0.339514348785872,0.525379037574159,0.1538,0.100433333333333,1.14020028612303,216693,1
0.0686,0.1509,0.0795,0.3385,0.6128,0.770330781453127,0.288342268474719,7.70817610062893,0.341631473660813,0.526838966202783,0.1537,0.0996666666666667,1.15889212827988,216928,1
0.0722,0.1588,0.0856,0.3547,0.635,0.762420205384402,0.283217136506012,7.41822429906542,0.336137989061843,0.53904282115869,0.1598,0.105533333333333,1.18559556786704,217030,1
0.1787,0.1739,0.1965,0.2259,0.3361,0.262110401802478,0.196085409252669,1.71043256997455,-0.0378976486860304,1.12995974698102,-0.0274,0.183033333333333,1.09960828203693,248926,2
0.1608,0.1681,0.1888,0.2341,0.3499,0.299053276406163,0.198287671232877,1.85328389830508,-0.0195392242636337,1.12314098750744,-0.0134,0.172566666666667,1.17412935323383,248955,2
0.0967,0.1016,0.1058,0.1452,0.2218,0.354090354090354,0.208719346049046,2.09640831758034,0.00172541286665022,1.04133858267717,0.000699999999999978,0.101366666666667,1.09410548086867,249022,2
0.1393,0.1498,0.1645,0.1965,0.2904,0.276764123983293,0.192852741836106,1.76534954407295,-0.00696055684454763,1.0981308411215,-0.00420000000000004,0.1512,1.18090452261307,249115,2
0.1421,0.1488,0.1653,0.2018,0.2914,0.276111232756733,0.181670721816707,1.76285541439806,-0.0161983471074381,1.11088709677419,-0.00980000000000003,0.152066666666667,1.16326530612245,249126,2
0.1476,0.1606,0.1712,0.2043,0.3015,0.275650518299133,0.192170818505338,1.76109813084112,0.00374999999999998,1.06600249066002,0.00240000000000001,0.1598,1.15989159891599,249357,2
0.1588,0.1865,0.1869,0.2884,0.3914,0.353622687186581,0.151515151515152,2.09416800428036,0.0379852511479059,1.00214477211796,0.0273,0.1774,1.17695214105793,249475,2
0.0814,0.0939,0.0958,0.133,0.2119,0.377315567110822,0.228761959988402,2.21189979123173,0.029041095890411,1.02023429179979,0.0106,0.0903666666666667,1.17690417690418,249999,2
0.1191,0.129,0.1346,0.1719,0.262,0.321230458900656,0.207651532611201,1.94650817236256,0.00840336134453784,1.04341085271318,0.00430000000000003,0.127566666666667,1.13014273719563,250003,2
0.0857,0.0878,0.1107,0.1465,0.2253,0.341071428571429,0.211941904249597,2.03523035230352,-0.0559139784946237,1.26082004555809,-0.0208,0.0947333333333333,1.29171528588098,250230,2
0.133,0.141,0.1602,0.2219,0.3561,0.379430563625799,0.232179930795848,2.22284644194757,-0.0194714881780251,1.13617021276596,-0.0112,0.144733333333333,1.20451127819549,250358,2
0.0817,0.0822,0.0948,0.1249,0.2049,0.367367367367367,0.242571255306246,2.16139240506329,-0.0354942798474626,1.15328467153285,-0.0121,0.0862333333333333,1.16034271725826,250373,2
0.1281,0.1372,0.1575,0.1959,0.2894,0.295144327590065,0.192664331341438,1.83746031746032,-0.02,1.14795918367347,-0.0112,0.140933333333333,1.22950819672131,250578,2
0.1521,0.1589,0.1665,0.2142,0.3056,0.294640965897056,0.175836860330896,1.83543543543544,-0.00125707102451288,1.04782882315922,-0.000799999999999967,0.159166666666667,1.09467455621302,250610,2
0.1751,0.1959,0.2094,0.2605,0.3674,0.273925104022191,0.170250039815257,1.75453677172875,0.00940358108978484,1.06891271056662,0.00729999999999997,0.193466666666667,1.19588806396345,250619,2
0.0478,0.1048,0.0564,0.2351,0.437,0.771382245642481,0.300401725933641,7.74822695035461,0.335882727852135,0.538167938931298,0.1054,0.0696666666666667,1.17991631799163,250980,1
0.0857,0.188,0.109,0.398,0.6407,0.70921702014139,0.23365745643593,5.87798165137615,0.317680042053618,0.579787234042553,0.1813,0.127566666666667,1.27187864644107,251014,1
0.1054,0.2144,0.127,0.4332,0.691,0.689486552567237,0.229318626578901,5.44094488188976,0.297035692679976,0.592350746268657,0.1964,0.148933333333333,1.20493358633776,251199,1
0.0541,0.1411,0.0671,0.3167,0.5538,0.783862135609599,0.272372199885124,8.25335320417287,0.399107585523054,0.475549255846917,0.161,0.0874333333333333,1.24029574861368,251224,1
0.0414,0.0902,0.0504,0.1858,0.3336,0.7375,0.284559106661533,6.61904761904762,0.325495958853784,0.558758314855876,0.0886,0.0606666666666667,1.21739130434783,251342,1
0.0892,0.1722,0.1019,0.3702,0.5656,0.694681647940075,0.208805300277837,5.55053974484789,0.286274509803922,0.591753774680604,0.1533,0.1211,1.14237668161435,251425,1
0.0999,0.2469,0.1023,0.5161,0.7819,0.768604388147478,0.204776579352851,7.64320625610948,0.418965517241379,0.414337788578372,0.2916,0.1497,1.02402402402402,251650,1
0.0843,0.1941,0.1012,0.4328,0.7381,0.758846657929227,0.260739602015544,7.29347826086957,0.353320550810528,0.521380731581659,0.2027,0.126533333333333,1.20047449584816,251857,1
0.1005,0.2005,0.1149,0.4376,0.7267,0.726948669201521,0.24830370179507,6.32463011314186,0.301103179753407,0.573067331670823,0.1856,0.138633333333333,1.14328358208955,252202,1
0.0866,0.2168,0.0933,0.4719,0.7548,0.779978776087725,0.230618733186598,8.09003215434084,0.413528932355338,0.430350553505535,0.2537,0.132233333333333,1.07736720554273,252423,1
0.094,0.2325,0.0995,0.5166,0.7847,0.774937796878534,0.206024744486283,7.88643216080402,0.412300683371298,0.427956989247312,0.2715,0.142,1.05851063829787,252438,1
0.0698,0.1578,0.0842,0.3292,0.5547,0.736421975269995,0.25511935739337,6.58788598574822,0.34412265758092,0.533586818757921,0.1616,0.103933333333333,1.20630372492837,252561,1
0.07,0.1539,0.082,0.3347,0.567,0.747303543913713,0.25762448707996,6.91463414634146,0.338842975206612,0.532813515269656,0.1558,0.101966666666667,1.17142857142857,252942,1
0.0802,0.2025,0.0912,0.4296,0.6843,0.764796905222437,0.228656073256127,7.50328947368421,0.405274115197779,0.45037037037037,0.2336,0.124633333333333,1.13715710723192,253280,1
0.0678,0.1619,0.0813,0.3543,0.5907,0.758035714285714,0.25015873015873,7.26568265682657,0.369422710932544,0.502161828289067,0.1747,0.103666666666667,1.19911504424779,253690,1
0.0684,0.162,0.0843,0.3353,0.5632,0.7396138996139,0.253644963828603,6.68090154211151,0.359345500314663,0.52037037037037,0.1713,0.1049,1.23245614035088,254062,1
0.0796,0.1761,0.0957,0.3793,0.6033,0.72618025751073,0.227966619173621,6.30407523510972,0.335355450236967,0.543441226575809,0.1769,0.117133333333333,1.20226130653266,254150,1
