OID_,Classified,GrndTruth
1,0,1
2,0,0
3,0,0
4,0,1
5,0,1
6,0,1
7,0,0
8,0,0
9,0,0
10,0,1
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,1,0
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,0
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,0
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,0
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,0
90,1,1
91,1,1
92,1,0
93,1,1
94,1,0
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,0
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,1,0
134,1,0
135,1,1
136,1,1
137,1,1
138,1,1
139,0,0
140,0,0
141,0,1
142,0,0
143,0,0
144,0,1
145,0,1
146,0,1
147,0,1
148,0,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
160,0,0
161,0,1
162,0,0
163,0,0
164,0,0
165,0,1
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,1
172,0,0
173,0,0
174,0,1
175,0,0
176,0,0
177,0,0
178,0,1
179,0,1
180,0,1
181,0,0
182,0,1
183,0,0
184,0,0
185,0,0
186,0,1
187,0,0
188,0,1
189,0,1
190,0,0
191,0,1
192,0,1
193,0,0
194,0,0
195,0,1
196,0,0
197,0,0
198,0,0
199,0,1
200,0,0
201,0,0
202,0,1
203,0,1
204,0,1
205,0,1
206,0,1
207,0,0
208,0,1
209,0,0
210,0,0
211,0,1
212,0,1
213,0,0
214,0,1
215,0,1
216,0,1
217,0,0
218,0,1
219,0,0
220,0,1
221,0,1
222,0,1
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,1
232,0,1
233,0,1
234,0,1
235,0,0
236,0,0
237,0,0
238,0,1
239,0,0
240,0,1
241,0,1
242,0,1
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,1
257,0,0
258,0,0
259,0,0
260,0,1
261,0,0
262,0,0
263,0,1
264,0,0
265,0,0
266,0,0
267,0,1
268,0,1
269,0,1
270,0,1
271,0,0
272,0,1
273,0,1
274,0,0
275,0,1
276,0,1
277,0,0
278,0,0
279,0,1
280,0,0
281,0,1
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,1
292,0,1
293,0,0
294,0,0
295,0,0
296,0,0
297,0,1
298,0,0
299,0,1
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,1
309,0,1
310,0,1
311,0,1
312,0,0
313,0,1
314,0,0
315,0,0
316,0,0
317,0,0
318,0,1
319,0,1
320,0,1
321,0,0
322,0,0
323,0,1
324,0,1
325,0,0
326,0,0
327,0,0
328,0,1
329,0,0
330,0,0
331,0,0
332,0,1
333,0,1
334,0,0
335,0,1
336,0,0
337,0,0
338,0,0
339,0,0
340,0,1
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,1
351,0,1
352,0,0
353,0,1
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
