OID_,FID_manual,FID_TreeSe,Class_ABC,Shape_Area
0,0,-1,C,0.6549210
1,1,-1,C,0.1811840
2,2,-1,C,0.1373330
3,3,-1,C,0.0350870
4,4,-1,C,2.1995399
5,5,-1,C,1.0998100
6,6,-1,C,0.3891920
7,7,-1,C,1.3989000
8,8,-1,C,0.8488960
9,9,-1,C,2.8547399
10,10,-1,C,3.4594500
11,11,-1,C,0.9140020
12,12,-1,C,1.0910800
13,13,-1,C,1.9923300
14,14,-1,C,1.5671700
15,15,-1,C,0.6438290
16,16,-1,C,0.3291360
17,17,-1,C,0.3942340
18,18,-1,C,0.8309240
19,19,-1,C,1.0049100
20,20,-1,C,0.7821520
21,21,-1,C,0.1734970
22,22,-1,C,1.6503400
23,23,-1,C,0.6082900
24,24,-1,C,1.1658800
25,25,-1,C,2.1007700
26,26,-1,C,0.5185880
27,27,-1,C,2.2210701
28,28,-1,C,0.1196220
29,29,-1,C,0.3788930
30,30,-1,C,1.9947100
31,31,-1,C,1.8849601
32,32,-1,C,3.7342200
33,33,-1,C,1.8835700
34,34,-1,C,0.1087970
35,35,-1,C,0.8124230
36,36,-1,C,0.5475330
37,37,-1,C,0.6421770
38,38,-1,C,0.8523640
39,39,-1,C,0.1166690
40,40,-1,C,0.4060540
41,41,-1,C,1.9165400
42,42,-1,C,0.4346470
43,43,-1,C,3.3666699
44,44,-1,C,4.5508199
45,45,-1,C,1.8017600
46,46,-1,C,0.7156180
47,47,-1,C,0.3564610
48,48,-1,C,3.4894800
49,49,-1,C,2.5265501
50,50,-1,C,0.7281940
51,51,-1,C,0.3564970
52,52,-1,C,2.5425701
53,53,-1,C,1.2907000
54,54,-1,C,3.0976701
55,55,-1,C,2.5921700
56,56,-1,C,1.2198499
57,57,-1,C,1.1062200
58,58,-1,C,1.1119100
59,59,-1,C,2.1767199
60,60,-1,C,0.0000474
61,61,-1,C,0.7877050
62,62,-1,C,26.6152000
63,63,-1,C,0.8759750
64,64,-1,C,2.0530300
65,65,-1,C,6.4677801
66,66,-1,C,1.0288600
67,67,-1,C,0.7190210
68,68,-1,C,0.4535850
69,69,-1,C,0.8426430
70,70,-1,C,1.2406800
71,71,-1,C,0.5914700
72,72,-1,C,0.4800490
73,73,-1,C,0.7367060
74,74,-1,C,0.2054140
75,75,-1,C,1.6450700
76,76,-1,C,14.8563995
77,77,-1,C,1.2787300
78,78,-1,C,0.3285590
79,79,-1,C,2.8613501
80,80,-1,C,0.6595080
81,81,-1,C,3.7981701
82,82,-1,C,2.0490501
83,83,-1,C,0.7451030
84,84,-1,C,0.4972600
85,85,-1,C,0.3907310
86,86,-1,C,1.3271900
87,87,-1,C,11.2944002
88,88,-1,C,3.6533401
89,89,-1,C,0.5753610
90,90,-1,C,2.6060801
91,91,-1,C,1.1614200
92,92,-1,C,0.1542650
93,93,-1,C,1.1116101
94,94,-1,C,0.4862910
95,95,-1,C,0.4090090
96,96,-1,C,8.2660398
97,97,-1,C,0.4980220
98,98,-1,C,0.5285350
99,99,-1,C,0.7196290
100,-1,1,B,0.4148860
101,-1,2,B,5.6390500
102,-1,3,B,8.8909998
103,-1,4,B,3.6216099
104,-1,5,B,2.1919701
105,-1,6,B,3.3205700
106,-1,7,B,5.5832200
107,-1,9,B,1.5300000
108,-1,10,B,3.0070701
109,-1,11,B,7.5066099
110,-1,12,B,2.0002999
111,-1,15,B,4.0086098
112,-1,18,B,1.3985800
113,-1,19,B,2.0195899
114,-1,22,B,2.4528699
115,-1,25,B,1.4166000
116,-1,26,B,0.9947850
117,-1,27,B,1.5911700
118,-1,30,B,11.2655001
119,-1,33,B,1.4166501
120,-1,34,B,2.8496900
121,-1,35,B,0.8622960
122,-1,37,B,1.9357001
123,-1,38,B,3.2505500
124,-1,39,B,2.7733600
125,-1,41,B,0.6548970
126,-1,43,B,11.6674004
127,-1,44,B,2.5159400
128,-1,47,B,9.8036003
129,-1,48,B,4.3169098
130,-1,49,B,9.4181204
131,-1,50,B,2.0489900
132,-1,52,B,7.9756098
133,-1,54,B,0.0685565
134,-1,56,B,0.1357010
135,-1,57,B,8.1953096
136,-1,58,B,3.1464200
137,-1,59,B,3.7359300
138,-1,61,B,5.5042701
139,-1,62,B,1.0946500
140,-1,65,B,0.6669440
141,-1,67,B,2.2408500
142,-1,69,B,1.8220400
143,-1,71,B,1.0616699
144,-1,72,B,5.3777900
145,-1,74,B,0.6769270
146,-1,75,B,3.3320301
147,-1,76,B,1.4433399
148,-1,77,B,0.6399620
149,-1,80,B,0.9643030
150,-1,82,B,0.9566950
151,-1,83,B,0.3275200
152,-1,85,B,2.6166999
153,-1,86,B,6.8730798
154,-1,87,B,0.1799860
155,-1,88,B,4.6946502
156,-1,89,B,1.0662301
157,-1,90,B,1.8711300
158,-1,94,B,1.0022700
159,-1,95,B,2.1546099
160,-1,97,B,1.2912000
161,-1,99,B,0.5014400
162,-1,100,B,2.5573499
163,-1,103,B,3.7705100
164,-1,105,B,5.2492199
165,-1,106,B,6.0473299
166,-1,110,B,2.9085901
167,-1,111,B,0.4088310
168,-1,112,B,3.8701100
169,-1,114,B,1.7163700
170,-1,115,B,0.8435700
171,-1,116,B,0.2535780
172,-1,117,B,0.5909810
173,-1,119,B,2.1166301
174,-1,120,B,4.3053999
175,-1,121,B,1.0815099
176,-1,122,B,4.6543102
177,-1,124,B,2.1420100
178,-1,125,B,2.3146200
179,-1,127,B,2.1108699
180,-1,128,B,1.7524800
181,-1,129,B,2.9236701
182,-1,132,B,0.7949950
183,-1,133,B,1.6519300
184,-1,134,B,5.0653000
185,-1,137,B,0.3336040
186,-1,143,B,0.1564400
187,-1,145,B,2.4318900
188,-1,149,B,1.4102200
189,-1,150,B,1.9554501
190,-1,151,B,0.1088380
191,-1,152,B,1.8162700
192,-1,153,B,0.0596680
193,-1,157,B,0.7706160
194,-1,158,B,1.3494999
195,-1,159,B,0.9154610
196,-1,161,B,0.8483040
197,-1,168,B,1.4898200
198,-1,178,B,1.1318300
199,-1,188,B,0.1924630
200,0,121,A,2.0033000
201,1,59,A,1.5697500
202,2,168,A,1.3466500
203,3,188,A,0.1655170
204,4,35,A,13.4827003
205,5,19,A,10.6442003
206,6,94,A,7.0484400
207,7,25,A,13.5813999
208,8,38,A,8.0019703
209,9,62,A,11.6620998
210,10,137,A,6.2323499
211,11,116,A,3.2933800
212,12,145,A,5.1941199
213,13,87,A,11.9954004
214,14,115,A,4.5298200
215,15,37,A,4.7874298
216,16,105,A,4.4096599
217,17,159,A,1.1859699
218,18,48,A,5.8484802
219,19,80,A,7.7675200
220,20,152,A,5.3836999
221,21,75,A,5.2716999
222,22,56,A,6.4669499
223,23,95,A,6.1395102
224,24,22,A,7.5200400
225,25,132,A,7.1103001
226,26,5,A,7.2856798
227,27,149,A,4.6567402
228,28,103,A,3.2822199
229,29,7,A,8.0379801
230,30,178,A,2.6199999
231,31,34,A,6.7551799
232,32,65,A,13.6450996
233,33,117,A,10.2313004
234,34,150,A,1.6031500
235,35,89,A,3.2637501
236,36,71,A,5.8645802
237,37,52,A,12.2580004
238,38,69,A,9.9813004
239,39,61,A,4.8428302
240,40,122,A,8.2823000
241,41,111,A,10.4660997
242,42,124,A,7.0112200
243,43,97,A,8.0072403
244,44,26,A,18.2947998
245,45,39,A,16.4316998
246,46,11,A,16.5930004
247,47,43,A,23.2145004
248,48,153,A,4.3528500
249,49,72,A,9.0621901
250,50,44,A,7.8964200
251,51,41,A,2.9256499
252,52,47,A,24.9288998
